protein1	protein2	combined_score
GENE_0024	EPCAM	164
GENE_0045	GENE_0199	574
GENE_0091	GENE_0078	923
GENE_0172	GENE_0184	607
GENE_0138	GENE_0039	808
GENE_0059	TSC2	276
GENE_0169	GENE_0147	397
RET	GENE_0181	772
GENE_0077	GENE_0050	944
GENE_0100	EPCAM	803
GENE_0144	GENE_0015	943
GENE_0117	GENE_0097	872
GENE_0120	GENE_0019	973
GENE_0042	GENE_0053	958
GENE_0069	GENE_0015	657
GENE_0049	TSC2	329
GENE_0132	GENE_0143	216
GENE_0060	GENE_0137	772
GENE_0169	GENE_0118	417
GENE_0194	GENE_0078	617
EPCAM	GENE_0023	817
GENE_0075	GENE_0139	984
GENE_0117	GENE_0158	761
GENE_0000	GENE_0063	442
GENE_0049	TP53	671
GENE_0086	GENE_0121	431
GENE_0122	GENE_0087	242
GENE_0029	GENE_0027	522
GENE_0113	GENE_0005	470
GENE_0014	GENE_0064	555
GENE_0094	GENE_0034	411
GENE_0024	GENE_0034	832
GENE_0063	PALB2	952
GENE_0123	GENE_0077	972
GENE_0013	GENE_0152	677
GENE_0087	GENE_0193	730
GENE_0079	GENE_0177	553
GENE_0123	GENE_0062	679
GENE_0039	PTEN	871
GENE_0116	GENE_0194	794
FANCD2	BRIP1	456
CDH1	GENE_0113	411
GENE_0169	GENE_0010	672
ATM	GENE_0199	401
GENE_0093	GENE_0186	949
GENE_0181	GENE_0194	717
GENE_0063	GENE_0172	818
GENE_0010	GENE_0103	974
GENE_0167	GENE_0052	210
GENE_0015	GENE_0192	243
GENE_0060	GENE_0180	971
GENE_0077	NF2	314
STK11	GENE_0180	444
GENE_0020	GENE_0068	785
GENE_0113	GENE_0016	431
GENE_0190	GENE_0075	368
GENE_0091	GENE_0005	779
GENE_0057	GENE_0159	608
GENE_0058	GENE_0069	435
GENE_0152	GENE_0126	916
GENE_0181	GENE_0191	492
GENE_0110	GENE_0176	469
GENE_0154	GENE_0189	993
GENE_0028	GENE_0169	191
GENE_0092	APC	210
GENE_0157	GENE_0188	173
GENE_0133	GENE_0183	947
GENE_0021	GENE_0107	789
GENE_0148	GENE_0157	440
BRCA2	GENE_0096	477
GENE_0128	GENE_0022	305
GENE_0197	GENE_0003	160
GENE_0014	GENE_0181	808
GENE_0030	GENE_0195	278
RAD51D	GENE_0160	180
GENE_0143	GENE_0089	496
GENE_0036	GENE_0038	811
GENE_0045	GENE_0068	441
